00,00,0000
00,01,0001
00,02,0002
00,03,0003
00,04,0004
00,05,0005
00,06,0006
00,07,0007
00,08,0008
00,09,0009
00,0A,000A
00,0B,000B
00,0C,000C
00,0D,000D
00,0E,000E
00,0F,000F
00,10,0010
00,11,0011
00,12,0012
00,13,0013
00,14,0014
00,15,0015
00,16,0016
00,17,0017
00,18,0018
00,19,0019
00,1A,001A
00,1B,001B
00,1C,001C
00,1D,001D
00,1E,001E
00,1F,001F
01,00,0020
01,01,0021
01,02,0022
01,03,0023
01,04,0024
01,05,0025
01,06,0026
01,07,0027
01,08,0028
01,09,0029
01,0A,002A
01,0B,002B
01,0C,002C
01,0D,002D
01,0E,002E
01,0F,002F
01,10,0030
01,11,0031
01,12,0032
01,13,0033
01,14,0034
01,15,0035
01,16,0036
01,17,0037
01,18,0038
01,19,0039
01,1A,003A
01,1B,003B
01,1C,003C
01,1D,003D
01,1E,003E
01,1F,003F
02,00,0040
02,01,0041
02,02,0042
02,03,0043
02,04,0044
02,05,0045
02,06,0046
02,07,0047
02,08,0048
02,09,0049
02,0A,004A
02,0B,004B
02,0C,004C
02,0D,004D
02,0E,004E
02,0F,004F
02,10,0050
02,11,0051
02,12,0052
02,13,0053
02,14,0054
02,15,0055
02,16,0056
02,17,0057
02,18,0058
02,19,0059
02,1A,005A
02,1B,005B
02,1C,005C
02,1D,005D
02,1E,005E
02,1F,005F
03,00,0060
03,01,0061
03,02,0062
03,03,0063
03,04,0064
03,05,0065
03,06,0066
03,07,0067
03,08,0068
03,09,0069
03,0A,006A
03,0B,006B
03,0C,006C
03,0D,006D
03,0E,006E
03,0F,006F
03,10,0070
03,11,0071
03,12,0072
03,13,0073
03,14,0074
03,15,0075
03,16,0076
03,17,0077
03,18,0078
03,19,0079
03,1A,007A
03,1B,007B
03,1C,007C
03,1D,007D
03,1E,007E
03,1F,007F
04,00,0080
04,01,0081
04,02,0082
04,03,0083
04,04,0084
04,05,0085
04,06,0086
04,07,0087
04,08,0088
04,09,0089
04,0A,008A
04,0B,008B
04,0C,008C
04,0D,008D
04,0E,008E
04,0F,008F
04,10,0090
04,11,0091
04,12,0092
04,13,0093
04,14,0094
04,15,0095
04,16,0096
04,17,0097
04,18,0098
04,19,0099
04,1A,009A
04,1B,009B
04,1C,009C
04,1D,009D
04,1E,009E
04,1F,009F
05,00,00A0
05,01,00A1
05,02,00A2
05,03,00A3
